c-return Loader:81 Kernel set_trace_func
    line Loader:82  
  c-call Loader:82 Module method_added
c-return Loader:82 Module method_added
    line Loader:83  
  c-call Loader:83 Module method_added
c-return Loader:83 Module method_added
    line Loader:92  
    line Loader:93  
    call :1 Object rgss_main
    line :1 Object rgss_main
  c-call :1 Kernel loop
    line :1 Object rgss_main
    line :1 Object rgss_main
    line Loader:93  
    call SceneManager:19 SceneManager run
    line SceneManager:20 SceneManager run
    call DataManager:16 DataManager init
    line DataManager:17 DataManager init
    line DataManager:18 DataManager init
    call DataManager:25 DataManager load_database
    line DataManager:26 DataManager load_database
    line DataManager:29 DataManager load_database
    line DataManager:29 DataManager load_database
    call DataManager:36 DataManager load_normal_database
    line DataManager:37 DataManager load_normal_database
  c-call DataManager:37 Kernel load_data
  c-call DataManager:37 Kernel proc
c-return DataManager:37 Kernel proc
  c-call DataManager:37 Marshal load
  c-call DataManager:37 IO binmode
c-return DataManager:37 IO binmode
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 Proc call
c-return DataManager:37 Proc call
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO read
c-return DataManager:37 IO read
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO read
c-return DataManager:37 IO read
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO read
c-return DataManager:37 IO read
  c-call DataManager:37 Proc call
c-return DataManager:37 Proc call
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 IO read
c-return DataManager:37 IO read
  c-call DataManager:37 IO getbyte
c-return DataManager:37 IO getbyte
  c-call DataManager:37 Proc call
c-return DataManager:37 Proc call
