<2012-07-07 13:31:24 +0800> c-return Loader:81 Kernel set_trace_func
<2012-07-07 13:31:24 +0800>     line Loader:82  
<2012-07-07 13:31:24 +0800>   c-call Loader:82 Module method_added
<2012-07-07 13:31:24 +0800> c-return Loader:82 Module method_added
<2012-07-07 13:31:24 +0800>     line Loader:83  
<2012-07-07 13:31:24 +0800>   c-call Loader:83 Module method_added
<2012-07-07 13:31:24 +0800> c-return Loader:83 Module method_added
<2012-07-07 13:31:24 +0800>     line Loader:92  
<2012-07-07 13:31:24 +0800>     line Loader:93  
<2012-07-07 13:31:24 +0800>     call :1 Object rgss_main
<2012-07-07 13:31:24 +0800>     line :1 Object rgss_main
<2012-07-07 13:31:24 +0800>   c-call :1 Kernel loop
<2012-07-07 13:31:24 +0800>     line :1 Object rgss_main
<2012-07-07 13:31:24 +0800>     line :1 Object rgss_main
<2012-07-07 13:31:24 +0800>     line Loader:93  
<2012-07-07 13:31:24 +0800>     call SceneManager:19 SceneManager run
<2012-07-07 13:31:24 +0800>     line SceneManager:20 SceneManager run
<2012-07-07 13:31:24 +0800>     call DataManager:16 DataManager init
<2012-07-07 13:31:24 +0800>     line DataManager:17 DataManager init
<2012-07-07 13:31:24 +0800>     line DataManager:18 DataManager init
<2012-07-07 13:31:24 +0800>     call DataManager:25 DataManager load_database
<2012-07-07 13:31:24 +0800>     line DataManager:26 DataManager load_database
<2012-07-07 13:31:24 +0800>     line DataManager:29 DataManager load_database
<2012-07-07 13:31:24 +0800>     line DataManager:29 DataManager load_database
<2012-07-07 13:31:24 +0800>     call DataManager:36 DataManager load_normal_database
<2012-07-07 13:31:24 +0800>     line DataManager:37 DataManager load_normal_database
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 Kernel load_data
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 Kernel proc
<2012-07-07 13:31:24 +0800> c-return DataManager:37 Kernel proc
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 Marshal load
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO binmode
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO binmode
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 Proc call
<2012-07-07 13:31:24 +0800> c-return DataManager:37 Proc call
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO read
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO read
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO getbyte
<2012-07-07 13:31:24 +0800>   c-call DataManager:37 IO read
<2012-07-07 13:31:24 +0800> c-return DataManager:37 IO read
