<2012-07-07 15:41:44 +0800> c-return DataManager:119 Dir glob
<2012-07-07 15:41:44 +0800>   c-call DataManager:119 Array empty?
<2012-07-07 15:41:44 +0800> c-return DataManager:119 Array empty?
<2012-07-07 15:41:44 +0800>   return DataManager:120 DataManager save_file_exists?
<2012-07-07 15:41:44 +0800>   return Window_TitleCommand:45 Window_TitleCommand continue_enabled
<2012-07-07 15:41:44 +0800>     call Window_Command_2:63 Window_Command add_command
<2012-07-07 15:41:44 +0800>     line Window_Command_2:64 Window_Command add_command
<2012-07-07 15:41:44 +0800>   c-call Window_Command_2:64 Array push
<2012-07-07 15:41:44 +0800> c-return Window_Command_2:64 Array push
<2012-07-07 15:41:44 +0800>   return Window_Command_2:65 Window_Command add_command
<2012-07-07 15:41:44 +0800>     line Window_TitleCommand:38 Window_TitleCommand make_command_list
<2012-07-07 15:41:44 +0800>     call Vocab:141 Vocab shutdown
<2012-07-07 15:41:44 +0800>     line Vocab:141 Vocab shutdown
<2012-07-07 15:41:44 +0800>     call Vocab:104 Vocab command
<2012-07-07 15:41:44 +0800>     line Vocab:105 Vocab command
<2012-07-07 15:41:44 +0800>   return Vocab:106 Vocab command
<2012-07-07 15:41:44 +0800>   return Vocab:141 Vocab shutdown
<2012-07-07 15:41:44 +0800>     call Window_Command_2:63 Window_Command add_command
<2012-07-07 15:41:44 +0800>     line Window_Command_2:64 Window_Command add_command
<2012-07-07 15:41:44 +0800>   c-call Window_Command_2:64 Array push
<2012-07-07 15:41:44 +0800> c-return Window_Command_2:64 Array push
<2012-07-07 15:41:44 +0800>   return Window_Command_2:65 Window_Command add_command
<2012-07-07 15:41:44 +0800>   return Window_TitleCommand:39 Window_TitleCommand make_command_list
<2012-07-07 15:41:44 +0800>     line Window_Command_2:144 Window_Command refresh
<2012-07-07 15:41:44 +0800>     call Window_Base:72 Window_Base create_contents
<2012-07-07 15:41:44 +0800>     line Window_Base:73 Window_Base create_contents
<2012-07-07 15:41:44 +0800>   c-call Window_Base:73 Window contents
<2012-07-07 15:41:44 +0800> c-return Window_Base:73 Window contents
<2012-07-07 15:41:44 +0800>   c-call Window_Base:73 Bitmap dispose
<2012-07-07 15:41:44 +0800> c-return Window_Base:73 Bitmap dispose
